"city","Can_P","holc_grade"
"Chicago",28.6288570857963,"C"
"Chicago",33.6693331716713,"C"
"Chicago",48.978933251376,"C"
"Chicago",25.0754444896369,"C"
"Chicago",26.1028234201339,"C"
"Chicago",21.7861910430211,"C"
"Chicago",40.4184883174025,"C"
"Chicago",41.1085848535191,"C"
"Chicago",36.2640220441645,"C"
"Chicago",41.4111009734906,"C"
"Chicago",37.2339649749965,"C"
"Chicago",38.8570414601258,"C"
"Chicago",33.4104166749003,"C"
"Chicago",27.6779583103963,"C"
"Chicago",27.2190156939483,"C"
"Chicago",27.3305108020046,"C"
"Chicago",24.358617165591,"C"
"Chicago",19.2622787966814,"C"
"Chicago",14.9880147354414,"C"
"Chicago",17.0994385558869,"C"
"Chicago",51.625824209683,"C"
"Chicago",21.4798052787708,"C"
"Chicago",17.7784258951646,"C"
"Chicago",14.4457511539588,"C"
"Chicago",25.9285890230932,"C"
"Chicago",14.0946096097789,"C"
"Chicago",16.5109897998893,"C"
"Chicago",18.6022859479062,"C"
"Chicago",16.7561440244344,"C"
"Chicago",15.8722072690133,"C"
"Chicago",13.3405526767424,"C"
"Chicago",38.9171480837192,"C"
"Chicago",18.741252984276,"C"
"Chicago",18.7466755788612,"C"
"Chicago",19.4736396033368,"C"
"Chicago",17.7712960552025,"C"
"Chicago",24.327874874719,"C"
"Chicago",23.2549022036691,"C"
"Chicago",19.1988781015346,"C"
"Chicago",26.5699371835261,"C"
"Chicago",20.3460864639174,"C"
"Chicago",21.847650431966,"C"
"Chicago",32.4680163303003,"C"
"Chicago",15.6995576677314,"C"
"Chicago",11.8245943178619,"C"
"Chicago",15.5100417783424,"C"
"Chicago",12.4367699092943,"C"
"Chicago",13.0887707058577,"C"
"Chicago",19.5232642813535,"C"
"Chicago",15.1808794699396,"C"
"Chicago",21.5990745529777,"C"
"Chicago",36.7519313262831,"C"
"Chicago",26.6760755256955,"C"
"Chicago",32.6035066027854,"C"
"Chicago",34.9398496240602,"C"
"Chicago",34.2210070917528,"C"
"Chicago",48.5237978010395,"C"
"Chicago",32.5780795634538,"C"
"Chicago",31.4660407796118,"C"
"Chicago",25.1797100094092,"C"
"Chicago",63.9262830547033,"C"
"Chicago",40.4383691555548,"C"
"Chicago",43.3729495851247,"C"
"Chicago",33.2036450049015,"C"
"Chicago",20.0467540592754,"C"
"Chicago",48.8846129011429,"C"
"Chicago",44.4700947552659,"C"
"Chicago",27.3277145181899,"C"
"Chicago",11.2734293124929,"C"
"Chicago",17.0427145844925,"C"
"Chicago",12.7217868338558,"C"
"Chicago",21.2819247668053,"C"
"Chicago",16.4350947634652,"C"
"Chicago",25.1207139425622,"C"
"Chicago",14.9159274859033,"C"
"Chicago",26.9113058892461,"C"
"Chicago",29.0438005630992,"C"
"Chicago",11.5890708651352,"C"
"Chicago",11.4648546480206,"C"
"Chicago",10.351307586199,"C"
"Chicago",15.3482182858901,"C"
"Chicago",14.1468946190776,"C"
"Chicago",13.4788109234006,"C"
"Chicago",17.4417573515578,"C"
"Chicago",19.2885655095751,"C"
"Chicago",16.6912935580879,"C"
"Chicago",17.4094432215349,"C"
"Chicago",46.5615991262715,"C"
"Chicago",30.7419612402558,"C"
"Chicago",26.0469781196208,"C"
"Chicago",17.056678615172,"C"
"Chicago",36.4882462293611,"C"
"Chicago",34.242174077958,"C"
"Chicago",24.5593375525924,"C"
"Chicago",13.4231843958568,"C"
"Chicago",13.3006576279554,"C"
"Chicago",18.0262962228611,"C"
"Chicago",16.8766114439064,"C"
"Chicago",43.8575040785985,"C"
"Chicago",14.1447749773934,"C"
"Chicago",52.1614395788353,"C"
"Chicago",24.4082256708203,"C"
"Chicago",20.9432565831449,"C"
"Chicago",20.148002716049,"C"
"Chicago",20.1360920671032,"C"
"Chicago",17.7589915064108,"C"
"Chicago",18.6248949602465,"C"
"Chicago",16.058659181913,"C"
"Chicago",21.6474148029224,"C"
"Chicago",42.2461315280464,"C"
"Chicago",15.0334873154684,"C"
"Chicago",16.5686746987952,"C"
"Chicago",19.2931464420759,"C"
"Chicago",16.8649155145202,"C"
"Chicago",22.5588584926421,"C"
"Chicago",24.6604500931249,"C"
"Chicago",24.4465485833085,"C"
"Chicago",20.5482289066947,"C"
"Chicago",20.3066438745659,"C"
"Chicago",20.1509930525353,"C"
"Chicago",37.6745399196249,"C"
"Chicago",19.8532864137788,"C"
"Chicago",24.0918071953454,"C"
"Chicago",16.9726867547903,"C"
"Chicago",27.2340718157958,"C"
"Chicago",21.3360525389368,"C"
"Chicago",28.0464510665663,"C"
"Chicago",22.7229205725864,"C"
"Chicago",17.9558213064332,"C"
"Chicago",20.8613059767167,"C"
